City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hambantota,LK,6.1241,81.1185,79.92,81,13,15.05,few clouds
79,Alamosa,US,37.4695,-105.87,67.66,23,2,2.19,clear sky
80,Asfi,MA,32.2994,-9.2372,70.84,77,4,9.62,clear sky
81,Ekhabi,RU,53.5102,142.9671,41.65,74,12,3.56,few clouds
82,Clarence Town,AU,-32.5833,151.7833,50.56,90,65,5.12,broken clouds
83,Turkistan,KZ,43.0,68.0,65.07,18,2,13.2,clear sky
84,Torbay,CA,47.6666,-52.7314,62.89,55,83,10.0,broken clouds
85,Batagay,RU,67.6333,134.6333,32.97,79,100,2.89,overcast clouds
86,Lagoa,PT,39.05,-27.9833,70.48,76,3,14.58,clear sky
87,Mayya,RU,61.7333,130.2811,31.82,91,1,4.36,clear sky
88,Sigli,ID,5.3848,95.9609,78.33,78,94,5.77,overcast clouds
89,Syracuse,IT,37.0881,15.2792,79.61,82,81,4.59,broken clouds
90,Broken Hill,AU,-31.95,141.4333,42.64,81,0,9.26,clear sky
91,Ribeira Grande,PT,38.5167,-28.7,71.71,78,10,15.99,clear sky
92,Slavjanovo,BG,43.4667,24.8667,60.21,62,85,0.94,overcast clouds
93,Najran,SA,17.4924,44.1277,81.73,34,62,9.86,broken clouds
94,Lubumbashi,CD,-11.6609,27.4794,72.86,18,6,0.47,clear sky
95,Barra Do Garcas,BR,-15.89,-52.2567,110.48,8,61,0.89,broken clouds
96,Norman Wells,CA,65.282,-126.8329,44.31,73,100,10.6,overcast clouds
97,Antalaha,MG,-14.9003,50.2788,70.74,78,28,8.72,scattered clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,36.55,66,100,18.5,overcast clouds
99,Le Port,RE,-20.9373,55.2919,66.61,72,9,4.92,clear sky
100,Vega De Alatorre,MX,20.0333,-96.6333,84.4,73,77,5.37,broken clouds
101,Katherine,AU,-14.4667,132.2667,72.3,28,68,9.71,broken clouds
102,Komsomolskiy,UZ,40.4272,71.7189,68.0,23,0,4.27,clear sky
103,Eldorado,BR,-23.7869,-54.2836,95.74,30,43,13.35,scattered clouds
104,Polovinnoye,RU,54.7914,65.9864,37.83,61,36,7.34,scattered clouds
105,Mataura,NZ,-46.1927,168.8643,44.47,98,74,3.06,broken clouds
106,Qaanaaq,GL,77.484,-69.3632,14.86,71,54,7.29,broken clouds
107,Souillac,MU,-20.5167,57.5167,70.36,65,15,11.14,few clouds
108,Bombo,ID,-8.6131,119.0131,75.51,85,99,0.45,overcast clouds
109,Leningradskiy,RU,69.3833,178.4167,22.35,88,100,13.15,overcast clouds
110,Castro,BR,-24.7911,-50.0119,89.26,30,12,7.67,few clouds
111,Tazovskiy,RU,67.4667,78.7,34.5,76,100,14.72,overcast clouds
112,Amazar,RU,53.858,120.875,47.66,96,16,3.69,few clouds
113,Maragogi,BR,-9.0122,-35.2225,79.61,66,45,7.27,scattered clouds
114,Severo-Yeniseyskiy,RU,60.3725,93.0408,32.05,96,100,5.5,overcast clouds
115,Upernavik,GL,72.7868,-56.1549,23.14,52,12,5.61,few clouds
116,Banepa,NP,27.6298,85.5214,64.11,96,98,1.21,moderate rain
117,Comodoro Rivadavia,AR,-45.8667,-67.5,64.42,36,2,12.64,clear sky
118,Olinda,BR,-8.0089,-34.8553,80.35,65,29,7.92,scattered clouds
119,Mogadishu,SO,2.0371,45.3438,77.25,83,37,14.47,scattered clouds
120,Talcahuano,CL,-36.7167,-73.1167,55.06,73,0,11.88,clear sky
121,Mar Del Plata,AR,-38.0023,-57.5575,54.43,55,0,10.02,clear sky
122,Birsk,RU,55.4211,55.5428,41.16,62,100,3.83,overcast clouds
123,Vaini,TO,-21.2,-175.2,72.93,70,15,18.75,few clouds
124,Karratha,AU,-20.7377,116.8463,82.18,22,95,19.73,overcast clouds
125,Bredasdorp,ZA,-34.5322,20.0403,53.28,82,16,6.22,few clouds
126,Hornepayne,CA,49.2138,-84.7705,44.19,91,100,11.83,overcast clouds
127,Evensk,RU,61.95,159.2333,43.81,89,100,21.14,light rain
128,Avarua,CK,-21.2078,-159.775,75.81,78,100,9.13,light rain
129,Tasiilaq,GL,65.6145,-37.6368,30.16,55,100,7.0,overcast clouds
130,Slave Lake,CA,55.2834,-114.769,62.65,45,100,10.76,overcast clouds
131,Luwuk,ID,-0.9516,122.7875,72.91,90,100,5.03,overcast clouds
132,Chitral,PK,35.8462,71.7858,71.96,63,0,3.69,clear sky
133,General Roca,AR,-39.0333,-67.5833,68.5,20,0,21.81,clear sky
134,Bima,ID,-8.4667,118.7167,75.18,86,93,2.86,overcast clouds
135,Te Anau,NZ,-45.4167,167.7167,37.38,93,65,1.77,broken clouds
136,Bud,US,39.447,-86.1758,78.06,80,93,6.67,overcast clouds
137,Laguna,US,38.421,-121.4238,91.09,37,0,1.01,clear sky
138,Sao Filipe,CV,14.8961,-24.4956,81.79,74,40,7.2,scattered clouds
139,Lavrentiya,RU,65.5833,-171.0,31.39,69,85,7.45,overcast clouds
140,Cacule,BR,-14.5033,-42.2222,96.22,20,15,8.12,few clouds
141,Peruibe,BR,-24.32,-46.9983,70.97,81,62,9.91,broken clouds
142,Nishihara,JP,26.1842,127.7558,78.98,79,1,4.94,clear sky
143,Port Alfred,ZA,-33.5906,26.891,58.51,72,96,3.65,overcast clouds
144,Ust-Koksa,RU,50.2696,85.6108,32.41,76,100,2.64,overcast clouds
145,Kodinsk,RU,58.6881,99.1844,32.31,98,35,3.98,scattered clouds
146,Kiruna,SE,67.8557,20.2251,36.5,79,96,22.53,overcast clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,73.99,84,13,22.75,few clouds
148,Nikolskoye,RU,59.7035,30.7861,44.02,83,100,5.19,light rain
149,Puerto Quijarro,BO,-17.7833,-57.7667,105.44,18,4,7.56,clear sky
150,Tha Rua,TH,14.5634,100.7226,77.99,91,100,6.51,heavy intensity rain
151,Hermanus,ZA,-34.4187,19.2345,60.91,74,27,13.44,scattered clouds
152,Flinders,AU,-34.5833,150.8552,50.05,75,35,9.46,scattered clouds
153,Alofi,NU,-19.0595,-169.9187,76.42,76,22,15.37,few clouds
154,Cidreira,BR,-30.1811,-50.2056,61.2,66,100,19.93,overcast clouds
155,Cubuk,TR,40.2386,33.0322,62.96,64,94,3.83,overcast clouds
156,Hobyo,SO,5.3505,48.5268,77.76,79,60,24.52,broken clouds
157,Quatre Cocos,MU,-20.2078,57.7625,70.09,70,27,13.71,scattered clouds
158,Severo-Kurilsk,RU,50.6789,156.125,48.22,86,69,14.5,broken clouds
159,Ponta Delgada,PT,37.7333,-25.6667,72.05,70,27,10.47,scattered clouds
160,Lingao,CN,19.9103,109.6859,78.76,84,41,7.49,light rain
161,Salalah,OM,17.0151,54.0924,79.56,83,82,4.32,broken clouds
162,Toowoomba,AU,-27.55,151.9667,37.26,77,0,5.79,clear sky
