City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuktoyaktuk,CA,2021-09-21 12:27:15,69.4541,-133.0374,35.92,67,100,22.01
68,Iqaluit,CA,2021-09-21 12:27:44,63.7506,-68.5145,31.73,93,90,14.97
69,Kenora,CA,2021-09-21 12:29:20,49.8167,-94.4337,48.18,87,75,8.05
70,Storozhevaya,RU,2021-09-21 12:29:21,43.8789,41.4514,69.13,55,92,4.0
71,Obihiro,JP,2021-09-21 12:29:21,42.9172,143.2044,60.21,93,73,1.88
72,San Patricio,US,2021-09-21 12:28:11,28.017,-97.5169,84.04,86,4,5.14
73,Butaritari,KI,2021-09-21 12:27:07,3.0707,172.7902,82.76,74,100,17.85
74,Khatanga,RU,2021-09-21 12:27:14,71.9667,102.5,32.59,92,71,8.21
75,Sibolga,ID,2021-09-21 12:29:21,1.7427,98.7792,78.62,81,20,0.36
76,Albany,US,2021-09-21 12:23:36,42.6001,-73.9662,60.31,90,81,4.12
77,Passos,BR,2021-09-21 12:27:36,-20.7189,-46.6097,90.21,23,9,3.04
78,Namibe,AO,2021-09-21 12:27:21,-15.1961,12.1522,70.43,78,90,17.27
79,Nsanje,MW,2021-09-21 12:29:21,-16.92,35.262,96.46,15,0,4.94
80,Alvorada,BR,2021-09-21 12:29:22,-12.48,-49.1247,92.35,16,79,9.86
81,Hualmay,PE,2021-09-21 12:29:22,-11.0964,-77.6139,60.82,87,45,8.68
82,Jalu,LY,2021-09-21 12:29:22,29.0331,21.5482,102.07,13,0,5.1
83,Dikson,RU,2021-09-21 12:27:20,73.5069,80.5464,34.66,78,52,8.34
84,Carnarvon,AU,2021-09-21 12:27:26,-24.8667,113.6333,69.87,73,0,9.22
85,Kapaa,US,2021-09-21 12:26:54,22.0752,-159.319,77.32,79,75,12.66
86,Ovre Ardal,NO,2021-09-21 12:29:23,61.3167,7.8,49.08,80,98,5.66
87,Warrington,GB,2021-09-21 12:29:23,53.3925,-2.5802,66.61,71,40,1.99
88,Ribe,DK,2021-09-21 12:29:23,55.3305,8.7697,62.62,76,100,15.86
89,Qaqortoq,GL,2021-09-21 12:29:23,60.7167,-46.0333,36.1,40,71,4.68
90,Asyut,EG,2021-09-21 12:28:29,27.181,31.1837,104.7,10,0,19.89
91,Maturin,VE,2021-09-21 12:29:24,9.75,-63.1767,77.9,88,80,3.47
92,Kavieng,PG,2021-09-21 12:27:01,-2.5744,150.7967,82.06,75,95,6.51
93,Barrhead,GB,2021-09-21 12:29:24,55.7992,-4.3929,66.97,75,75,5.01
94,Pyay,MM,2021-09-21 12:29:25,18.8167,95.2167,80.62,83,98,1.36
95,Noumea,NC,2021-09-21 12:29:25,-22.2763,166.4572,69.78,73,0,5.99
96,Chongwe,ZM,2021-09-21 12:29:25,-15.3292,28.682,93.99,8,9,9.86
97,Bako,ET,2021-09-21 12:29:25,5.7833,36.5667,78.87,48,83,3.31
98,Pitimbu,BR,2021-09-21 12:29:26,-7.4706,-34.8086,84.79,66,22,11.16
99,Hilo,US,2021-09-21 12:27:25,19.7297,-155.09,72.81,94,90,8.05
100,Bay Roberts,CA,2021-09-21 12:29:26,47.5999,-53.2648,53.33,78,76,4.0
101,Charters Towers,AU,2021-09-21 12:29:26,-20.1,146.2667,65.79,18,20,24.05
102,Ziro,IN,2021-09-21 12:29:26,27.6333,93.8333,68.74,96,16,2.35
103,Bredasdorp,ZA,2021-09-21 12:26:59,-34.5322,20.0403,66.27,42,97,6.91
104,Oranjestad,AW,2021-09-21 12:27:03,12.524,-70.027,84.15,74,20,13.8
105,Hay River,CA,2021-09-21 12:29:27,60.8156,-115.7999,42.78,93,75,6.91
106,Vanavara,RU,2021-09-21 12:29:27,60.34,102.2797,36.19,88,92,5.32
107,Sabang,ID,2021-09-21 12:29:00,5.8933,95.3214,82.9,79,100,22.91
108,Agustin Codazzi,CO,2021-09-21 12:29:28,10.0341,-73.2361,77.67,76,100,0.72
109,Hasaki,JP,2021-09-21 12:27:35,35.7333,140.8333,70.2,82,63,3.78
110,Lazaro Cardenas,MX,2021-09-21 12:28:58,17.9583,-102.2,74.88,88,98,4.61
111,Nikolskoye,RU,2021-09-21 12:27:13,59.7035,30.7861,48.09,56,99,7.74
112,Ilulissat,GL,2021-09-21 12:27:24,69.2167,-51.1,30.22,74,75,14.97
113,Samarai,PG,2021-09-21 12:27:37,-10.6167,150.6667,78.17,87,100,14.12
114,Kodiak,US,2021-09-21 12:27:46,57.79,-152.4072,41.32,49,0,25.34
115,Hithadhoo,MV,2021-09-21 12:27:06,-0.6,73.0833,83.8,74,98,16.73
116,Sabha,LY,2021-09-21 12:28:28,27.0377,14.4283,98.2,11,0,16.6
117,Jinka,ET,2021-09-21 12:29:28,5.65,36.65,80.01,41,81,3.06
118,Tiksi,RU,2021-09-21 12:27:00,71.6872,128.8694,32.67,73,92,6.02
119,Sirjan,IR,2021-09-21 12:29:28,29.452,55.6814,89.4,11,9,4.59
120,Grand Gaube,MU,2021-09-21 12:29:29,-20.0064,57.6608,74.37,57,56,11.01
121,Chota,PE,2021-09-21 12:29:29,-6.55,-78.65,52.5,84,64,4.05
122,Vanimo,PG,2021-09-21 12:27:57,-2.6741,141.3028,79.41,87,92,5.77
123,Muzhi,RU,2021-09-21 12:29:29,65.3667,64.6667,44.85,78,98,13.65
124,Sovetskiy,RU,2021-09-21 12:29:30,61.3614,63.5842,45.28,60,69,7.87
125,Faanui,PF,2021-09-21 12:27:28,-16.4833,-151.75,78.4,70,0,9.84
126,Thompson,CA,2021-09-21 12:26:40,55.7435,-97.8558,33.96,93,75,0.0
127,Vostok,RU,2021-09-21 12:28:42,46.4856,135.8833,48.97,98,100,4.34
128,Beloha,MG,2021-09-21 12:29:30,-25.1667,45.05,85.84,26,3,13.85
129,Bathsheba,BB,2021-09-21 12:27:23,13.2167,-59.5167,88.41,66,40,13.8
130,Port Alfred,ZA,2021-09-21 12:27:18,-33.5906,26.891,62.47,59,89,14.61
131,Cidreira,BR,2021-09-21 12:28:38,-30.1811,-50.2056,61.84,78,100,17.69
132,Arraial Do Cabo,BR,2021-09-21 12:27:18,-22.9661,-42.0278,82.36,69,0,5.75
133,Honningsvag,NO,2021-09-21 12:29:30,70.9821,25.9704,45.93,61,20,32.21
134,Katsuura,JP,2021-09-21 12:27:52,35.1333,140.3,75.31,85,55,3.83
135,Upernavik,GL,2021-09-21 12:27:36,72.7868,-56.1549,21.33,58,21,5.77
136,Willowmore,ZA,2021-09-21 12:29:31,-33.2926,23.4895,59.65,29,79,1.61
137,Lienz,AT,2021-09-21 12:29:31,46.8289,12.769,68.9,46,10,2.68
138,Port-Gentil,GA,2021-09-21 12:28:01,-0.7193,8.7815,77.56,84,96,15.17
139,Harper,LR,2021-09-21 12:29:10,4.375,-7.7169,80.62,79,59,8.52
140,Grass Valley,US,2021-09-21 12:29:31,39.2191,-121.0611,71.98,35,90,5.99
141,Edd,ER,2021-09-21 12:29:32,13.9297,41.6925,93.56,58,4,11.45
142,Dalbandin,PK,2021-09-21 12:25:47,28.8947,64.4101,98.04,6,0,18.68
143,Wanning,CN,2021-09-21 12:29:32,18.8003,110.3967,81.34,85,90,6.85
144,Airai,TL,2021-09-21 12:28:54,-8.9266,125.4092,60.6,79,85,3.09
145,Saldanha,ZA,2021-09-21 12:27:29,-33.0117,17.9442,69.85,57,42,13.13
146,Luderitz,NA,2021-09-21 12:28:04,-26.6481,15.1594,77.74,35,0,10.27
147,Georgetown,MY,2021-09-21 12:27:45,5.4112,100.3354,84.13,75,20,5.75
148,Phan Thiet,VN,2021-09-21 12:28:25,10.9333,108.1,79.95,85,85,9.13
149,Volgodonsk,RU,2021-09-21 12:29:33,47.5136,42.1514,61.12,90,100,6.69
150,Nuoro,IT,2021-09-21 12:29:33,40.3211,9.3297,74.46,38,29,3.51
151,Lompoc,US,2021-09-21 12:28:31,34.6391,-120.4579,66.92,81,1,0.0
152,Bilibino,RU,2021-09-21 12:28:01,68.0546,166.4372,16.14,86,25,4.72
153,Puerto Baquerizo Moreno,EC,2021-09-21 12:28:56,-0.9,-89.6,68.18,81,73,12.33
